pres_id,r1,r2,nodes_explored,path_length
590,YYYYYYYXyyyyyyx,YXXyx,3340,231
591,YYYYYYYXyyyyyyx,YXyxx,3350,233
592,YYYYYYYXyyyyyyx,YXyXyx,5760,244
593,YYYYYYYXyyyyyyx,YXYXyx,5097,235
594,YYYYYYYXyyyyyyx,YXyxYx,5080,235
595,YYYYYYYXyyyyyyx,YXYxyX,5755,244
596,YYYYYYYXyyyyyyx,YYxyXYx,16168,337
597,YYYYYYYXyyyyyyx,YYXyxYX,9407,294
598,YYYYYYYXyyyyyyx,YYYxxYX,7612,64
599,YYYYYYYXyyyyyyx,YYYxxyX,478,40
600,YYYYYYYXyyyyyyx,YYxYXyx,9501,294
601,YYYYYYYXyyyyyyx,YYYxyXX,476,40
602,YYYYYYYXyyyyyyx,YYYxYXX,6285,56
603,YYYYYYYXyyyyyyx,YYXYxyX,16096,331
604,YYYYYYYXyyyyyyx,YYYxyXYx,46491,322
605,YYYYYYYXyyyyyyx,YYYXyxYX,60593,307
606,YYYYYYYXyyyyyyx,YYYxxYYX,2023,39
607,YYYYYYYXyyyyyyx,YYYxYxYX,6641,63
608,YYYYYYYXyyyyyyx,YYYxyxYX,1258,61
609,YYYYYYYXyyyyyyx,YYYxYxyX,1217,56
610,YYYYYYYXyyyyyyx,YYYxYXyx,61366,309
611,YYYYYYYXyyyyyyx,YYYxYXyX,1166,55
612,YYYYYYYXyyyyyyx,YYYxYYXX,2048,48
613,YYYYYYYXyyyyyyx,YYYXYxyX,46481,314
614,YYYYYYYXyyyyyyx,YYYxyXYX,1160,56
615,YYYYYYYXyyyyyyx,YYYxYXYX,6648,62
616,YYYYYYYYXyyyyyyyx,YXXyx,18320,491
617,YYYYYYYYXyyyyyyyx,YXyxx,18341,493
618,YYYYYYYYXyyyyyyyx,YXyXyx,15389,500
619,YYYYYYYYXyyyyyyyx,YXYXyx,14455,489
620,YYYYYYYYXyyyyyyyx,YXyxYx,14415,489
621,YYYYYYYYXyyyyyyyx,YXYxyX,15371,500
622,YYYYYYYYXyyyyyyyx,YYxyXYx,78774,671
623,YYYYYYYYXyyyyyyyx,YYXyxYX,59710,708
624,YYYYYYYYXyyyyyyyx,YYxYXyx,59971,706
625,YYYYYYYYXyyyyyyyx,YYXYxyX,78770,665
626,YYYYYYYYXyyyyyyyx,YYYYXYxx,6517,56
627,YYYYYYYYXyyyyyyyx,YYYYXXyx,477,40
628,YYYYYYYYXyyyyyyyx,YYXyXyyx,26774,81
629,YYYYYYYYXyyyyyyyx,YYXYXyyx,12452,79
630,YYYYYYYYXyyyyyyyx,YYXyyxYx,12429,79
631,YYYYYYYYXyyyyyyyx,YYYYXyxx,481,40
632,YYYYYYYYXyyyyyyyx,YYYYXXYx,6425,56
633,YYYYYYYYXyyyyyyyx,YYXyyxyx,26838,83
634,YYYYYYYXyyyyyyx,YYYXyyxx,574348,80
635,YYYYYYYXyyyyyyx,YYYXXyyx,574959,80
636,YYYYYYYYXyyyyyyyx,YYYXYxyX,213882,678
637,YYYYYYYYXyyyyyyyx,YYYXyxYX,271866,667
638,YYYYYYYYXyyyyyyyx,YYYxyXYx,213878,672
639,YYYYYYYYXyyyyyyyx,YYYxYXyx,272953,669
